Date,pib_mensal,ipca,100,deflator,pib_real
01/01/1990,0.2,67.55,167.55,1202790.084,240558.0169
01/02/1990,0.4,75.73,294.435615,684453.4709,273781.3883
01/03/1990,0.8,82.39,537.0211182,375269.1874,300215.3499
01/04/1990,0.7,15.52,620.3667957,324852.1359,227396.4951
01/05/1990,0.8,7.59,667.4526355,301935.2504,241548.2003
01/06/1990,0.8,11.75,745.8783202,270188.1435,216150.5148
01/07/1990,0.9,12.92,842.2457992,239273.9493,215346.5543
01/08/1990,1,12.88,950.7270581,211971.9607,211971.9607
01/09/1990,1.1,14.41,1087.726827,185273.9802,203801.3782
01/10/1990,1.4,14.36,1243.9244,162009.4265,226813.1972
01/11/1990,1.7,16.81,1453.028091,138694.8262,235781.2046
01/12/1990,1.8,18.44,1720.966471,117101.3393,210782.4107
01/01/1991,2.1,20.75,2078.067014,96978.33481,203654.5031
01/02/1991,2.4,20.72,2508.642499,80333.27933,192799.8704
01/03/1991,2.5,11.92,2807.672685,71777.41184,179443.5296
01/04/1991,3.1,4.99,2947.775552,68365.95089,211934.4478
01/05/1991,3.6,7.43,3166.795276,63637.67187,229095.6187
01/06/1991,4.1,11.19,3521.159667,57233.26906,234656.4032
01/07/1991,4.6,12.41,3958.135582,50914.74874,234207.8442
01/08/1991,5.3,15.63,4576.792173,44032.47318,233372.1079
01/09/1991,5.6,15.63,5292.14479,38080.49225,213250.7566
01/10/1991,7.5,20.23,6362.745681,31673.03688,237547.7766
01/11/1991,9.2,25.21,7966.793867,25295.93234,232722.5775
01/12/1991,10.5,23.71,9855.720693,20447.76683,214701.5517
01/01/1992,13.1,25.94,12412.29464,16236.11786,212693.1439
01/02/1992,16.3,24.32,15430.9647,13059.94036,212877.0279
01/03/1992,19.6,21.4,18733.19114,10757.77624,210852.4144
01/04/1992,23.6,19.93,22466.71614,8970.046063,211693.0871
01/05/1992,30.1,24.86,28051.94177,7184.083024,216240.899
01/06/1992,37.5,20.21,33721.2392,5976.277368,224110.4013
01/07/1992,46.1,21.83,41082.58572,4905.423432,226140.0202
01/08/1992,56.7,22.14,50178.27019,4016.23009,227720.2461
01/09/1992,70.8,24.63,62537.17814,3222.52274,228154.61
01/10/1992,89,25.24,78321.56191,2573.077882,229003.9315
01/11/1992,110.4,22.49,95936.08118,2100.643222,231911.0117
01/12/1992,127.7,25.24,120150.3481,1677.294172,214190.4658
01/01/1993,164,30.35,156615.9787,1286.761927,211028.9561
01/02/1993,206.9,24.98,195738.6502,1029.574274,213018.9173
01/03/1993,294.6,27.26,249097.0062,809.0321184,238340.8621
01/04/1993,368.1,27.75,318221.4255,633.2932434,233115.2429
01/05/1993,481.6,27.69,406336.9382,495.9615031,238855.0599
01/06/1993,613.5,30.07,528522.4555,381.3035313,233929.7164
01/07/1993,841.4,30.72,690884.5538,291.6948679,245432.0618
01/08/1993,1149.5,32.96,918600.1027,219.3854301,252183.5519
01/09/1993,1578.4,35.69,1246448.479,161.6813546,255197.8502
01/10/1993,2071.3,33.92,1669243.804,120.7298048,250067.6448
01/11/1993,2792.8,35.56,2262826.9,89.06005078,248726.9098
01/12/1993,3534.9,36.84,3096452.33,65.08334608,230063.1201
01/01/1994,4562.8,41.31,4375596.788,46.0571411,210149.5234
01/02/1994,5793,40.27,6137649.614,32.83463399,190211.0347
01/03/1994,8520.4,42.75,8761494.824,23.00149491,195981.9373
01/04/1994,12828.8,42.68,12500900.82,16.12103652,206813.5534
01/05/1994,20504.2,44.03,18005047.44,11.19283241,229500.0744
01/06/1994,33126.6,47.43,26544841.45,7.591963924,251495.9521
01/07/1994,40788,6.84,28360508.6,7.10591906,289836.2266
01/08/1994,43873.4,1.86,28888014.06,6.976162439,306067.9651
01/09/1994,43836.2,1.53,29330000.68,6.871035594,301200.0905
01/10/1994,45234.9,2.62,30098446.69,6.695610597,302875.2758
01/11/1994,45926.2,2.81,30944213.05,6.512606358,299099.2621
01/12/1994,44210.2,1.71,31473359.09,6.403113124,283082.9118
01/01/1995,47028.6,1.7,32008406.19,6.296079768,296095.817
01/02/1995,49954.5,1.02,32334891.94,6.232508184,311341.8301
01/03/1995,60024.3,1.55,32836082.76,6.137378812,368391.8671
01/04/1995,57789.5,2.43,33633999.57,5.991778593,346261.889
01/05/1995,56350.5,2.67,34532027.36,5.835958501,328859.1795
01/06/1995,56726.2,2.26,35312451.18,5.706980736,323735.3306
01/07/1995,58788.1,2.36,36145825.03,5.575401266,327767.2472
01/08/1995,60950.3,0.99,36503668.7,5.520745882,336491.1177
01/09/1995,60610.8,0.99,36865055.02,5.466626282,331336.5922
01/10/1995,63428.1,1.41,37384852.29,5.39061856,341916.6931
01/11/1995,67762.9,1.47,37934409.62,5.312524451,359992.0631
01/12/1995,66577.7,1.56,38526186.41,5.230922066,348262.7601
01/01/1996,64133.3,1.34,39042437.31,5.161754555,331040.3534
01/02/1996,62202.2,1.03,39444574.41,5.109130511,317799.1579
01/03/1996,62987.8,0.35,39582630.42,5.091310923,320690.4741
01/04/1996,64019.1,1.26,40081371.57,5.027958644,321885.3872
01/05/1996,69488.7,1.22,40570364.3,4.96735689,345175.1727
01/06/1996,71103,1.19,41053151.64,4.908940498,349040.3962
01/07/1996,74969.9,1.11,41508841.62,4.855049449,363982.5717
01/08/1996,74798.8,0.44,41691480.52,4.833780813,361561.0043
01/09/1996,71744.6,0.15,41754017.74,4.826541002,346278.2536
01/10/1996,77200.1,0.3,41879279.8,4.812104688,371494.9631
01/11/1996,80449.1,0.32,42013293.49,4.796755072,385894.6284
01/12/1996,81667.1,0.47,42210755.97,4.774315787,389904.5248
01/01/1997,77582.6,1.18,42708842.89,4.718635884,366084.0403
01/02/1997,71072.8,0.5,42922387.11,4.695160084,333698.1736
01/03/1997,70461.6,0.51,43141291.28,4.671336269,329149.8276
01/04/1997,73576.4,0.88,43520934.64,4.630587102,340701.9289
01/05/1997,78110.8,0.41,43699370.48,4.611679217,360221.953
01/06/1997,81202.4,0.54,43935347.08,4.586909904,372468.0928
01/07/1997,82058.7,0.22,44032004.84,4.576840854,375569.6106
01/08/1997,82132.5,-0.02,44023198.44,4.577756405,375982.578
01/09/1997,81987.3,0.06,44049612.36,4.575011398,375092.832
01/10/1997,87297.2,0.23,44150926.47,4.564513019,398469.2059
01/11/1997,85390.1,0.17,44225983.04,4.556766515,389102.7484
01/12/1997,81216.8,0.43,44416154.77,4.537256313,368501.4385
01/01/1998,79363.9,0.71,44731509.47,4.505268904,357555.7108
01/02/1998,75828.1,0.46,44937274.41,4.484639562,340061.6972
01/03/1998,80508.7,0.34,45090061.14,4.469443454,359829.0822
01/04/1998,81166.1,0.24,45198277.29,4.458742472,361898.7374
01/05/1998,85207.5,0.5,45424268.68,4.436559674,378028.1584
01/06/1998,85562.4,0.02,45433353.53,4.43567254,379526.7881
01/07/1998,86938.5,-0.12,45378833.51,4.441001742,386094.0299
01/08/1998,86371.3,-0.51,45147401.46,4.463766953,385541.3546
